variante,algoritmo,tamanio,corridas,factibles_pct,metrica,media,mediana,desviacion_muestral,mejor,peor
BASE,GENETICO,25,150,100,objetivo,13865.396856,11841.03,4383.124347,11174.456667,22697.865
BASE,GENETICO,25,150,100,tiempoMs,219.034457,178.66875,116.060142,107.6639,714.309201
BASE,GENETICO,25,150,100,evaluaciones,9060,9060,0,9060,9060
BASE,GENETICO,25,150,100,cumplimientoPct,58.293333,56,8.674228,68,44
BASE,GENETICO,25,150,100,cumplimientoPrioritariosPct,30.105325,27.272727,12.766268,52.941176,15.384615
BASE,GENETICO,25,150,100,retrasoHoras,133.909689,114.093333,43.195271,106.766667,220.906667
BASE,GENETICO,25,150,100,tiempoAtencionHoras,474.427967,431.696667,72.140667,414.818333,607.198333
BASE,GENETICO,25,150,100,noAsignados,0,0,0,0,0
BASE,GENETICO,25,150,100,costo,11367.866667,10852,962.644056,10068,13420
BASE,GENETICO,25,150,100,distanciaKm,1630.293333,1536,151.027334,1408,1934
BASE,GENETICO,25,150,100,utilizacionPct,31.862745,31.127451,5.718876,42.401961,25.490196
BASE,RECOCIDO_SIMULADO,25,150,100,objetivo,13861.8061,11841.03,4382.343717,11175.046667,22633.276667
BASE,RECOCIDO_SIMULADO,25,150,100,tiempoMs,28.847198,28.7935,1.40854,26.0196,35.634299
BASE,RECOCIDO_SIMULADO,25,150,100,evaluaciones,4286.866667,4301,147.508101,3941,4621
BASE,RECOCIDO_SIMULADO,25,150,100,cumplimientoPct,59.253333,56,7.718353,68,48
BASE,RECOCIDO_SIMULADO,25,150,100,cumplimientoPrioritariosPct,31.60075,27.272727,12.4809,52.941176,15.384615
BASE,RECOCIDO_SIMULADO,25,150,100,retrasoHoras,133.843111,114.093333,43.174958,106.766667,220.223333
BASE,RECOCIDO_SIMULADO,25,150,100,tiempoAtencionHoras,477.494989,431.696667,72.852915,416.048333,620.543333
BASE,RECOCIDO_SIMULADO,25,150,100,noAsignados,0,0,0,0,0
BASE,RECOCIDO_SIMULADO,25,150,100,costo,11141.746667,10740,732.250784,9790,13196
BASE,RECOCIDO_SIMULADO,25,150,100,distanciaKm,1579.24,1536,117.900577,1352,1872
BASE,RECOCIDO_SIMULADO,25,150,100,utilizacionPct,31.862745,31.127451,5.718876,42.401961,25.490196
BASE,GENETICO,50,150,100,objetivo,86986.437589,84015.165,7336.641691,80089.986667,106577.598333
BASE,GENETICO,50,150,100,tiempoMs,253.509793,208.6904,94.201574,184.9146,639.732901
BASE,GENETICO,50,150,100,evaluaciones,9060,9060,0,9060,9060
BASE,GENETICO,50,150,100,cumplimientoPct,28.066667,28,1.595576,32,26
BASE,GENETICO,50,150,100,cumplimientoPrioritariosPct,12.894153,12.903226,3.562326,17.647059,7.142857
BASE,GENETICO,50,150,100,retrasoHoras,849.3839,824.968333,66.096763,784.846667,1046.353333
